tenure,monthly_charges,total_charges,contract,internet_service,support_calls,payment_method,churn
47,67.22,3122.48,One year,No,1,Mailed check,0
68,91.29,6163.06,Month-to-month,DSL,3,Mailed check,1
45,59.29,2769.12,Two year,Fiber optic,1,Electronic check,0
2,45.87,58.2,One year,Fiber optic,4,Electronic check,0
27,54.72,1455.26,Month-to-month,DSL,1,Electronic check,1
36,99.42,3616.13,Month-to-month,Fiber optic,1,Bank transfer,0
36,82.52,2948.45,Month-to-month,DSL,7,Bank transfer,1
26,113.76,2899.58,One year,Fiber optic,1,Bank transfer,1
43,87.97,3769.83,One year,DSL,3,Credit card,1
27,77.02,2179.93,Month-to-month,Fiber optic,0,Credit card,1
69,81.02,5566.28,One year,DSL,0,Bank transfer,0
20,114.24,2239.15,Month-to-month,No,1,Electronic check,1
11,98.82,1108.03,Month-to-month,No,0,Mailed check,1
38,22.4,836.06,Month-to-month,DSL,2,Mailed check,0
6,73.41,577.43,Month-to-month,Fiber optic,2,Mailed check,1
23,88.83,2003.83,Month-to-month,DSL,2,Credit card,1
47,94.87,4545.57,Month-to-month,Fiber optic,5,Bank transfer,0
46,41.31,1958.62,Month-to-month,DSL,2,Electronic check,0
12,106.72,1261.55,Two year,Fiber optic,1,Mailed check,1
13,115.58,1502.42,Month-to-month,DSL,3,Bank transfer,1
62,43.67,2656.14,Month-to-month,DSL,3,Bank transfer,1
60,108.26,6468.77,Month-to-month,DSL,2,Credit card,1
43,29.7,1257.59,Month-to-month,DSL,2,Credit card,1
68,25.57,1746.7,Month-to-month,Fiber optic,1,Credit card,0
5,32.92,93.98,Month-to-month,DSL,1,Credit card,1
37,25.77,969.22,One year,No,2,Bank transfer,1
31,104.5,3232.24,One year,Fiber optic,2,Credit card,1
9,25.91,253.05,Month-to-month,DSL,3,Mailed check,0
51,47.17,2432.85,Month-to-month,Fiber optic,5,Electronic check,1
29,30.38,869.6,Month-to-month,Fiber optic,2,Credit card,1
40,49.54,2006.1,Month-to-month,Fiber optic,0,Mailed check,1
41,29.06,1186.94,One year,Fiber optic,3,Electronic check,0
11,86.8,991.98,One year,DSL,2,Credit card,1
23,33.33,782.46,One year,DSL,1,Credit card,0
1,105.18,114.24,Month-to-month,Fiber optic,2,Electronic check,1
46,101.72,4673.96,Two year,No,4,Mailed check,1
21,21.37,513.48,Month-to-month,No,0,Mailed check,1
36,109.57,3964.87,Month-to-month,DSL,0,Bank transfer,0
54,22.89,1170.23,Month-to-month,Fiber optic,2,Bank transfer,1
57,43.96,2482.38,One year,No,4,Credit card,0
1,23.24,11.81,One year,DSL,1,Mailed check,1
63,53.58,3375.76,Month-to-month,Fiber optic,4,Mailed check,0
54,71.39,3863.71,Month-to-month,Fiber optic,5,Credit card,1
55,99.66,5434.34,One year,Fiber optic,4,Electronic check,0
40,53.8,2148.53,Two year,Fiber optic,1,Electronic check,0
15,90.55,1342.53,Month-to-month,No,2,Bank transfer,1
21,38.75,868.0,One year,DSL,0,Credit card,0
47,95.06,4418.06,Month-to-month,Fiber optic,1,Electronic check,1
53,43.6,2309.91,One year,DSL,1,Credit card,0
9,34.35,274.92,Month-to-month,Fiber optic,1,Mailed check,1
52,38.54,2097.28,Month-to-month,No,0,Electronic check,1
57,38.21,2240.59,One year,Fiber optic,4,Electronic check,0
26,71.29,1771.33,Two year,DSL,2,Electronic check,0
41,104.48,4243.86,Month-to-month,Fiber optic,1,Mailed check,1
35,27.96,1022.16,Month-to-month,DSL,2,Bank transfer,1
63,90.7,5736.69,Month-to-month,DSL,2,Credit card,1
25,85.43,2157.16,Month-to-month,Fiber optic,0,Electronic check,1
38,107.25,4085.12,One year,Fiber optic,2,Mailed check,1
2,44.41,136.39,Month-to-month,Fiber optic,3,Electronic check,1
7,65.01,494.13,One year,Fiber optic,1,Credit card,0
34,112.58,3813.29,Month-to-month,DSL,1,Credit card,1
17,86.0,1402.03,Two year,DSL,3,Electronic check,1
43,58.88,2447.2,Month-to-month,Fiber optic,2,Mailed check,1
59,33.14,1950.15,Month-to-month,No,3,Electronic check,0
51,46.25,2266.68,Month-to-month,No,2,Mailed check,1
54,78.12,4231.11,One year,Fiber optic,3,Bank transfer,1
24,91.82,2188.2,Month-to-month,DSL,5,Electronic check,1
25,32.44,908.25,Month-to-month,Fiber optic,3,Mailed check,1
71,79.96,5694.3,Two year,Fiber optic,2,Electronic check,1
52,75.04,3900.37,Two year,DSL,1,Credit card,0
70,71.4,4916.88,One year,Fiber optic,4,Credit card,0
33,89.01,2874.29,Month-to-month,No,0,Electronic check,1
49,103.74,5117.57,Month-to-month,Fiber optic,3,Electronic check,1
29,52.3,1501.02,One year,DSL,2,Mailed check,0
63,108.9,6987.55,Month-to-month,Fiber optic,0,Mailed check,1
22,36.06,789.24,Month-to-month,DSL,4,Credit card,1
26,37.3,978.31,Month-to-month,DSL,1,Mailed check,1
28,46.68,1241.12,Two year,No,2,Credit card,1
49,31.95,1613.07,Month-to-month,DSL,2,Bank transfer,0
71,43.03,3008.98,One year,DSL,3,Electronic check,0
49,30.64,1527.64,Month-to-month,Fiber optic,0,Mailed check,1
20,102.18,2084.09,One year,No,3,Credit card,1
63,33.9,2140.26,One year,Fiber optic,2,Credit card,0
61,94.73,5866.36,Month-to-month,DSL,0,Electronic check,1
49,24.79,1184.24,Month-to-month,Fiber optic,1,Electronic check,1
71,114.85,8238.27,One year,Fiber optic,5,Electronic check,1
1,91.12,27.57,Month-to-month,Fiber optic,1,Mailed check,1
13,20.68,308.79,One year,Fiber optic,3,Bank transfer,0
51,96.39,4908.55,One year,DSL,1,Bank transfer,0
56,71.41,3963.45,Month-to-month,No,3,Bank transfer,1
62,97.94,5989.0,Month-to-month,Fiber optic,2,Bank transfer,1
32,72.25,2298.96,Month-to-month,DSL,2,Credit card,0
30,84.1,2506.88,One year,Fiber optic,1,Mailed check,1
29,98.63,2869.01,Month-to-month,DSL,2,Bank transfer,1
49,60.51,3001.27,Two year,Fiber optic,2,Bank transfer,0
45,20.27,871.76,Two year,DSL,2,Mailed check,0
30,104.99,3237.75,Month-to-month,DSL,1,Mailed check,0
16,58.09,902.5,Month-to-month,Fiber optic,1,Electronic check,1
40,69.6,2814.28,Month-to-month,No,0,Electronic check,1
19,20.78,399.26,Two year,DSL,2,Bank transfer,0
18,69.21,1235.83,Month-to-month,Fiber optic,1,Credit card,1
1,118.65,120.65,Month-to-month,Fiber optic,2,Electronic check,1
47,47.83,2200.84,One year,Fiber optic,3,Mailed check,0
66,59.54,3910.38,Month-to-month,DSL,4,Electronic check,0
38,88.72,3304.33,Month-to-month,Fiber optic,1,Electronic check,1
51,101.48,5147.98,Month-to-month,DSL,2,Mailed check,1
63,61.74,3866.23,One year,No,2,Bank transfer,1
4,50.97,246.13,Month-to-month,Fiber optic,2,Electronic check,1
1,113.78,97.19,Month-to-month,No,0,Electronic check,1
8,87.71,679.31,Two year,DSL,0,Bank transfer,1
29,31.9,936.16,Month-to-month,No,1,Electronic check,1
55,26.89,1488.15,One year,DSL,2,Credit card,0
3,68.35,175.51,Month-to-month,Fiber optic,4,Bank transfer,1
32,42.01,1364.0,Month-to-month,DSL,4,Credit card,1
10,45.4,445.05,Month-to-month,Fiber optic,1,Mailed check,1
34,107.77,3634.52,Month-to-month,DSL,2,Credit card,1
55,28.96,1567.84,Month-to-month,DSL,0,Mailed check,0
32,91.54,2976.63,Month-to-month,Fiber optic,5,Bank transfer,1
50,47.11,2332.44,Month-to-month,Fiber optic,2,Mailed check,0
7,96.03,685.29,Month-to-month,Fiber optic,2,Mailed check,1
8,92.24,673.81,Month-to-month,DSL,2,Mailed check,1
65,20.74,1403.81,Month-to-month,DSL,4,Mailed check,1
57,70.91,4012.92,Month-to-month,No,3,Credit card,1
67,33.93,2293.46,One year,Fiber optic,3,Mailed check,1
59,106.62,6278.16,Month-to-month,DSL,3,Mailed check,0
54,107.16,5806.01,Month-to-month,Fiber optic,2,Electronic check,1
67,61.83,4165.09,One year,No,1,Electronic check,0
51,64.44,3279.18,Month-to-month,No,0,Electronic check,1
8,50.33,309.33,Month-to-month,DSL,1,Mailed check,0
34,91.66,3171.01,Month-to-month,No,3,Electronic check,1
35,55.87,1948.32,Two year,DSL,1,Credit card,0
32,46.78,1515.34,Month-to-month,Fiber optic,0,Bank transfer,0
46,63.22,2942.85,One year,DSL,8,Bank transfer,0
16,29.15,443.52,One year,Fiber optic,1,Bank transfer,0
68,94.66,6462.76,Month-to-month,Fiber optic,0,Electronic check,1
37,21.26,749.23,One year,Fiber optic,4,Mailed check,0
54,84.45,4579.6,Month-to-month,Fiber optic,0,Bank transfer,1
14,38.29,537.0,Month-to-month,Fiber optic,3,Credit card,1
55,43.24,2357.1,Month-to-month,Fiber optic,1,Electronic check,1
48,83.56,4013.38,One year,DSL,2,Electronic check,0
7,119.29,782.3,Month-to-month,DSL,2,Credit card,1
7,97.77,699.85,Month-to-month,Fiber optic,2,Mailed check,1
33,42.58,1425.91,One year,No,1,Mailed check,0
23,37.6,882.14,One year,Fiber optic,2,Credit card,0
19,106.62,2100.95,Two year,DSL,1,Credit card,1
19,64.42,1219.2,Month-to-month,Fiber optic,0,Electronic check,0
36,33.71,1212.08,Month-to-month,DSL,1,Credit card,1
29,106.22,3021.9,Month-to-month,No,3,Mailed check,1
60,101.61,6175.18,One year,DSL,1,Mailed check,0
2,118.39,161.87,Month-to-month,Fiber optic,4,Mailed check,1
1,110.97,122.4,Two year,Fiber optic,2,Mailed check,0
47,105.18,4912.68,Month-to-month,No,4,Mailed check,1
69,25.26,1745.88,Two year,DSL,1,Electronic check,0
20,30.44,543.43,One year,DSL,0,Credit card,0
11,76.9,890.46,Two year,Fiber optic,5,Credit card,0
2,73.15,98.54,Month-to-month,Fiber optic,3,Bank transfer,1
67,65.8,4466.67,Month-to-month,DSL,2,Electronic check,0
12,59.68,669.77,Month-to-month,Fiber optic,1,Electronic check,1
20,63.12,1311.18,Month-to-month,Fiber optic,2,Electronic check,1
5,76.93,343.1,Month-to-month,No,2,Electronic check,0
37,20.21,716.95,One year,DSL,1,Electronic check,0
38,46.07,1750.6,Month-to-month,DSL,2,Mailed check,1
9,71.83,604.06,Two year,Fiber optic,1,Bank transfer,0
53,92.22,4843.88,Month-to-month,Fiber optic,1,Mailed check,0
44,37.42,1604.47,Month-to-month,Fiber optic,4,Bank transfer,0
24,74.69,1808.46,Month-to-month,Fiber optic,3,Electronic check,1
30,91.45,2743.36,One year,DSL,2,Electronic check,0
59,64.46,3805.93,Month-to-month,DSL,1,Credit card,1
14,22.71,301.68,Two year,DSL,2,Electronic check,0
9,64.93,611.78,Month-to-month,No,2,Electronic check,1
40,49.64,2038.28,Two year,Fiber optic,5,Electronic check,1
66,112.96,7484.47,Month-to-month,DSL,0,Electronic check,1
25,32.46,801.08,Month-to-month,DSL,2,Electronic check,0
22,85.25,1814.41,One year,No,2,Bank transfer,1
4,25.27,2.23,One year,No,2,Credit card,0
26,64.62,1676.8,Month-to-month,No,4,Electronic check,0
58,75.4,4273.42,Two year,DSL,3,Electronic check,0
29,49.8,1434.1,Month-to-month,Fiber optic,3,Electronic check,1
37,65.51,2493.91,One year,DSL,1,Bank transfer,1
70,36.36,2487.2,Month-to-month,DSL,2,Bank transfer,1
18,50.41,843.12,Month-to-month,DSL,1,Credit card,1
42,82.11,3480.49,Month-to-month,DSL,2,Electronic check,1
41,50.18,1917.09,Two year,Fiber optic,0,Credit card,0
38,109.97,4198.11,Two year,No,3,Mailed check,0
34,82.84,2890.01,Month-to-month,DSL,1,Bank transfer,0
17,63.86,1042.08,Two year,No,1,Electronic check,1
37,23.88,831.19,Month-to-month,DSL,3,Bank transfer,0
25,69.95,1778.37,One year,Fiber optic,1,Credit card,0
27,96.48,2546.36,Month-to-month,DSL,3,Mailed check,1
57,46.56,2694.22,Month-to-month,Fiber optic,2,Electronic check,1
31,100.68,3066.53,Month-to-month,DSL,3,Bank transfer,1
6,45.18,359.5,Month-to-month,Fiber optic,4,Mailed check,1
40,102.37,4128.1,Month-to-month,Fiber optic,0,Credit card,1
12,28.53,344.22,One year,No,0,Credit card,0
53,106.62,5736.31,Month-to-month,DSL,1,Bank transfer,0
71,69.92,5015.8,Two year,Fiber optic,5,Bank transfer,0
10,49.65,514.97,One year,Fiber optic,3,Electronic check,1
45,46.51,1999.85,Month-to-month,No,1,Credit card,1
17,63.2,1039.34,Month-to-month,Fiber optic,2,Electronic check,0
26,119.9,3171.8,One year,No,4,Bank transfer,0
62,42.03,2541.02,Two year,Fiber optic,2,Mailed check,1
46,30.32,1356.51,Two year,Fiber optic,1,Electronic check,1
64,78.5,4973.12,One year,DSL,2,Credit card,1
2,68.85,157.83,Month-to-month,Fiber optic,3,Bank transfer,1
54,72.42,3958.84,One year,Fiber optic,1,Bank transfer,0
65,86.69,5683.31,Month-to-month,DSL,3,Electronic check,1
51,46.71,2339.79,Month-to-month,DSL,0,Electronic check,1
53,111.07,5905.96,One year,No,3,Bank transfer,1
36,63.57,2243.43,Two year,Fiber optic,1,Electronic check,1
26,32.91,845.1,Two year,DSL,0,Bank transfer,0
29,94.23,2758.67,Month-to-month,Fiber optic,2,Credit card,0
21,84.31,1823.59,One year,DSL,2,Mailed check,1
11,51.57,459.85,Two year,Fiber optic,4,Electronic check,1
40,82.15,3291.01,One year,Fiber optic,3,Credit card,0
11,41.99,532.21,Month-to-month,DSL,2,Credit card,0
36,64.48,2333.03,One year,Fiber optic,2,Electronic check,0
59,109.94,6490.66,Month-to-month,DSL,0,Credit card,1
39,33.35,1272.63,One year,No,1,Bank transfer,0
54,58.67,3237.2,One year,No,2,Electronic check,0
55,102.11,5590.44,One year,DSL,2,Mailed check,1
24,116.95,2801.77,Month-to-month,No,1,Bank transfer,1
22,65.39,1415.13,Month-to-month,Fiber optic,4,Credit card,1
69,70.7,4883.71,Month-to-month,Fiber optic,1,Credit card,1
56,77.22,4395.45,Month-to-month,DSL,4,Mailed check,0
33,113.23,3691.44,Two year,Fiber optic,1,Mailed check,1
36,105.82,3815.17,Month-to-month,No,2,Credit card,1
20,37.06,760.76,Month-to-month,DSL,1,Mailed check,0
62,63.68,3907.28,Two year,DSL,1,Mailed check,0
26,66.4,1723.45,Month-to-month,DSL,1,Credit card,1
66,98.91,6620.6,One year,Fiber optic,4,Bank transfer,1
40,80.29,3123.15,Month-to-month,No,2,Electronic check,0
17,85.42,1431.11,Month-to-month,Fiber optic,1,Credit card,1
1,119.82,132.35,Two year,DSL,0,Mailed check,1
61,27.5,1658.46,Month-to-month,Fiber optic,2,Mailed check,1
43,42.3,1963.25,Month-to-month,DSL,4,Bank transfer,1
42,60.79,2580.6,Month-to-month,DSL,0,Credit card,1
25,54.78,1317.24,Month-to-month,Fiber optic,1,Credit card,0
39,22.16,747.58,Two year,DSL,1,Mailed check,0
35,29.18,1038.24,One year,No,2,Credit card,0
3,88.1,226.51,Month-to-month,Fiber optic,2,Mailed check,1
44,107.93,4813.47,One year,No,1,Mailed check,0
51,71.42,3628.81,One year,No,1,Mailed check,1
12,73.92,858.61,Two year,No,6,Electronic check,1
19,45.51,835.42,Month-to-month,DSL,1,Mailed check,1
44,96.79,4307.98,Two year,No,1,Bank transfer,0
59,95.18,5636.37,Month-to-month,Fiber optic,3,Credit card,1
49,78.84,3950.79,One year,Fiber optic,0,Electronic check,0
61,41.27,2506.5,Two year,DSL,1,Credit card,0
17,29.7,548.04,Month-to-month,DSL,1,Bank transfer,1
57,26.42,1550.13,Month-to-month,No,4,Electronic check,1
55,79.27,4393.52,Month-to-month,DSL,1,Credit card,1
47,102.5,4792.17,Month-to-month,DSL,1,Electronic check,0
12,105.83,1293.67,Month-to-month,DSL,3,Mailed check,1
62,66.36,4109.59,One year,No,0,Mailed check,0
8,98.43,781.24,Month-to-month,Fiber optic,5,Credit card,1
21,114.69,2368.16,Month-to-month,No,1,Bank transfer,1
70,47.52,3220.17,Month-to-month,DSL,4,Electronic check,1
25,59.8,1557.32,Month-to-month,DSL,2,Electronic check,1
12,113.15,1379.35,Month-to-month,Fiber optic,3,Credit card,1
15,53.82,740.19,One year,Fiber optic,3,Mailed check,1
59,111.39,6607.76,Month-to-month,DSL,3,Electronic check,1
26,118.1,3134.12,Two year,DSL,1,Mailed check,0
26,86.18,2279.59,Month-to-month,DSL,1,Mailed check,0
47,101.69,4734.8,Two year,DSL,1,Bank transfer,0
32,94.95,3001.95,Month-to-month,Fiber optic,2,Mailed check,1
10,89.95,872.14,One year,DSL,3,Mailed check,0
16,50.69,854.14,One year,DSL,1,Electronic check,0
71,25.71,1849.32,One year,DSL,1,Bank transfer,1
17,54.31,1062.7,One year,DSL,3,Bank transfer,1
23,86.69,1911.91,Two year,No,3,Credit card,1
26,30.25,783.95,One year,DSL,3,Credit card,0
7,21.19,51.95,One year,DSL,0,Credit card,1
14,33.97,505.4,Two year,Fiber optic,4,Bank transfer,1
7,91.57,694.36,One year,Fiber optic,1,Mailed check,0
9,117.28,1127.62,Month-to-month,Fiber optic,2,Bank transfer,1
48,118.31,5688.14,Month-to-month,DSL,5,Mailed check,1
59,69.4,3998.81,Two year,Fiber optic,0,Credit card,0
39,106.94,4167.97,Month-to-month,Fiber optic,3,Credit card,1
18,93.68,1708.13,One year,DSL,2,Mailed check,0
59,70.1,4085.88,Month-to-month,DSL,4,Mailed check,1
17,77.28,1300.44,Month-to-month,Fiber optic,3,Credit card,1
14,33.72,408.27,One year,Fiber optic,2,Mailed check,1
31,113.77,3496.12,Month-to-month,No,0,Bank transfer,1
24,55.19,1370.25,Month-to-month,Fiber optic,3,Credit card,1
60,64.61,3910.9,Month-to-month,Fiber optic,1,Bank transfer,0
45,87.17,3852.71,Month-to-month,DSL,1,Credit card,1
3,53.39,124.92,One year,No,4,Electronic check,0
37,45.43,1683.61,Month-to-month,Fiber optic,2,Bank transfer,1
43,83.1,3584.84,One year,Fiber optic,3,Electronic check,0
40,22.5,866.79,Month-to-month,DSL,0,Credit card,1
55,92.07,5087.81,Two year,DSL,3,Bank transfer,0
39,71.4,2782.93,Month-to-month,Fiber optic,0,Bank transfer,0
15,80.58,1079.8,Month-to-month,DSL,3,Bank transfer,1
4,83.19,304.17,Month-to-month,DSL,3,Mailed check,0
25,72.71,1787.61,Month-to-month,DSL,3,Bank transfer,1
13,78.25,1051.21,Month-to-month,DSL,6,Bank transfer,1
33,88.38,2951.3,One year,Fiber optic,2,Electronic check,1
16,95.31,1441.39,Month-to-month,Fiber optic,5,Bank transfer,1
42,92.75,3917.22,Month-to-month,DSL,4,Mailed check,1
66,106.96,7055.77,Month-to-month,Fiber optic,2,Bank transfer,1
55,38.94,2148.26,Two year,No,3,Electronic check,0
42,60.11,2494.13,Month-to-month,No,3,Bank transfer,1
34,114.78,3899.42,Month-to-month,Fiber optic,2,Bank transfer,1
30,59.66,1847.29,Month-to-month,Fiber optic,2,Electronic check,1
13,32.49,427.94,One year,DSL,1,Credit card,0
13,72.54,940.96,One year,Fiber optic,1,Bank transfer,0
18,30.95,533.12,Month-to-month,Fiber optic,2,Credit card,1
32,40.29,1341.74,Month-to-month,Fiber optic,1,Electronic check,1
39,119.83,4609.4,Month-to-month,DSL,3,Electronic check,1
46,74.14,3370.17,One year,Fiber optic,0,Credit card,0
29,48.41,1336.86,Month-to-month,No,1,Mailed check,1
62,119.48,7417.64,Two year,No,2,Mailed check,0
62,116.66,7291.65,Month-to-month,Fiber optic,3,Electronic check,1
57,64.07,3635.77,Month-to-month,DSL,0,Mailed check,0
16,46.04,683.17,Month-to-month,DSL,1,Mailed check,1
56,103.84,5896.86,One year,No,3,Electronic check,0
10,91.56,938.18,One year,DSL,0,Bank transfer,0
30,88.69,2674.7,Two year,Fiber optic,2,Bank transfer,1
25,109.31,2723.27,Month-to-month,Fiber optic,2,Bank transfer,1
5,88.94,478.16,Month-to-month,Fiber optic,1,Mailed check,0
65,48.38,3157.78,Month-to-month,Fiber optic,2,Credit card,1
49,89.39,4355.87,Month-to-month,No,2,Mailed check,1
3,50.58,136.05,Month-to-month,DSL,3,Bank transfer,1
45,95.92,4265.58,Month-to-month,Fiber optic,4,Electronic check,1
14,81.97,1090.42,Month-to-month,No,0,Electronic check,1
30,27.74,817.4,Month-to-month,No,0,Electronic check,0
68,71.28,4904.99,One year,Fiber optic,2,Mailed check,0
18,54.33,926.23,Month-to-month,Fiber optic,1,Credit card,0
62,52.86,3318.96,One year,No,2,Bank transfer,0
37,80.23,2928.4,Month-to-month,Fiber optic,1,Electronic check,1
25,52.23,1216.48,One year,Fiber optic,1,Bank transfer,0
48,97.69,4716.42,Month-to-month,DSL,2,Bank transfer,1
65,27.08,1841.58,Month-to-month,DSL,4,Mailed check,0
53,86.04,4517.27,Two year,Fiber optic,2,Electronic check,0
15,100.92,1435.3,Month-to-month,Fiber optic,1,Mailed check,0
49,87.28,4299.62,One year,Fiber optic,0,Bank transfer,0
68,69.72,4695.0,One year,DSL,0,Bank transfer,0
12,115.03,1407.2,Month-to-month,No,1,Bank transfer,1
59,49.99,3007.21,One year,Fiber optic,3,Electronic check,0
37,21.92,827.45,Two year,Fiber optic,2,Electronic check,1
61,63.2,3895.62,Month-to-month,No,3,Electronic check,1
43,23.3,1042.78,One year,DSL,1,Bank transfer,1
70,115.39,8127.05,One year,Fiber optic,2,Bank transfer,0
39,40.99,1600.94,Month-to-month,Fiber optic,1,Credit card,1
56,98.89,5576.95,Month-to-month,Fiber optic,2,Electronic check,1
63,97.46,6148.02,Month-to-month,Fiber optic,4,Bank transfer,1
46,41.77,1941.12,One year,DSL,4,Bank transfer,1
11,82.12,1055.93,One year,Fiber optic,3,Credit card,0
62,24.81,1550.17,One year,DSL,5,Credit card,0
25,68.36,1634.05,Month-to-month,DSL,0,Bank transfer,1
71,21.46,1514.12,Month-to-month,No,2,Electronic check,1
52,112.11,5814.42,One year,Fiber optic,1,Mailed check,0
4,117.61,457.19,Month-to-month,No,1,Mailed check,0
59,42.23,2539.14,One year,Fiber optic,1,Mailed check,0
20,40.81,872.74,One year,Fiber optic,2,Electronic check,0
63,95.37,6003.16,Month-to-month,No,1,Bank transfer,1
54,45.34,2378.66,Month-to-month,No,2,Mailed check,1
57,109.51,6246.89,Month-to-month,DSL,4,Mailed check,1
41,77.39,3145.94,One year,No,5,Electronic check,1
3,55.08,175.75,Two year,DSL,2,Bank transfer,1
6,103.27,613.57,One year,DSL,0,Bank transfer,0
5,69.34,407.52,Month-to-month,Fiber optic,4,Electronic check,1
5,111.16,569.56,Month-to-month,No,3,Mailed check,1
54,112.8,6064.27,One year,No,1,Bank transfer,1
47,36.54,1648.2,Month-to-month,DSL,2,Bank transfer,1
49,20.23,988.98,One year,Fiber optic,2,Mailed check,0
9,118.39,1063.32,Month-to-month,No,3,Electronic check,1
20,110.61,2199.15,Month-to-month,DSL,3,Mailed check,0
61,25.54,1596.98,Month-to-month,Fiber optic,4,Credit card,0
35,103.3,3546.48,Month-to-month,Fiber optic,2,Bank transfer,1
50,65.78,3250.9,One year,DSL,2,Electronic check,1
62,45.9,2848.21,Month-to-month,Fiber optic,7,Mailed check,0
17,107.87,1805.89,Two year,DSL,1,Mailed check,0
3,39.67,101.16,Month-to-month,DSL,5,Electronic check,1
32,114.73,3668.35,Month-to-month,DSL,0,Bank transfer,1
13,40.56,561.61,Month-to-month,Fiber optic,3,Electronic check,1
68,81.37,5528.02,Month-to-month,Fiber optic,0,Credit card,0
14,42.31,493.84,Month-to-month,Fiber optic,1,Electronic check,1
11,74.57,790.1,Two year,Fiber optic,1,Credit card,0
56,88.4,4975.05,Month-to-month,DSL,5,Bank transfer,0
67,39.02,2652.66,Month-to-month,No,2,Mailed check,0
29,72.09,2131.46,Month-to-month,Fiber optic,1,Credit card,0
9,66.91,657.21,Month-to-month,DSL,0,Credit card,0
67,27.1,1821.87,Month-to-month,DSL,2,Electronic check,1
25,101.83,2558.93,Two year,DSL,1,Electronic check,1
42,53.57,2199.17,Month-to-month,No,2,Mailed check,1
9,77.46,588.4,Month-to-month,Fiber optic,0,Bank transfer,1
40,71.48,2788.26,Two year,Fiber optic,4,Credit card,0
25,71.33,1748.06,Month-to-month,DSL,2,Mailed check,1
5,30.72,85.63,Month-to-month,Fiber optic,3,Credit card,1
11,62.35,671.18,Month-to-month,No,1,Mailed check,1
59,65.24,3825.86,Month-to-month,DSL,1,Electronic check,0
38,93.36,3594.73,Month-to-month,Fiber optic,3,Electronic check,1
5,104.0,471.55,One year,No,2,Bank transfer,1
48,74.5,3582.94,One year,Fiber optic,1,Electronic check,0
18,28.68,495.22,One year,DSL,2,Mailed check,0
70,43.68,3007.62,Month-to-month,DSL,3,Credit card,0
37,36.49,1313.87,One year,DSL,1,Mailed check,0
60,32.46,1845.13,Month-to-month,No,1,Bank transfer,1
48,56.59,2753.73,Month-to-month,Fiber optic,3,Electronic check,0
28,42.94,1272.41,Month-to-month,No,2,Electronic check,0
69,41.83,2872.92,Month-to-month,DSL,5,Credit card,1
40,25.47,1020.23,Two year,Fiber optic,2,Bank transfer,0
45,21.77,964.72,One year,DSL,3,Bank transfer,0
62,30.28,1836.16,One year,DSL,0,Electronic check,0
58,37.22,2193.99,One year,DSL,2,Bank transfer,0
67,63.1,4243.54,One year,DSL,1,Mailed check,0
56,71.05,3833.31,Month-to-month,No,3,Bank transfer,1
40,34.06,1310.64,Month-to-month,DSL,4,Mailed check,0
40,62.48,2396.48,One year,Fiber optic,3,Mailed check,1
33,54.17,1865.54,Month-to-month,No,3,Mailed check,0
6,38.34,221.46,Two year,No,0,Electronic check,0
19,20.68,405.03,Month-to-month,DSL,1,Mailed check,0
40,66.7,2650.41,Month-to-month,No,1,Credit card,1
59,88.57,5280.48,Month-to-month,DSL,1,Bank transfer,1
59,42.63,2558.07,One year,Fiber optic,4,Mailed check,1
48,33.18,1581.9,Month-to-month,No,2,Credit card,0
41,108.7,4542.77,One year,Fiber optic,0,Electronic check,1
13,47.5,626.8,Month-to-month,No,4,Electronic check,0
45,42.36,1833.25,One year,No,2,Electronic check,1
53,105.71,5607.61,Month-to-month,DSL,2,Electronic check,1
42,101.71,4297.72,Month-to-month,Fiber optic,4,Bank transfer,1
63,64.83,4077.92,Month-to-month,DSL,3,Electronic check,1
27,68.92,1840.37,Month-to-month,Fiber optic,2,Bank transfer,1
38,41.77,1675.66,Month-to-month,DSL,2,Credit card,0
60,27.83,1610.52,One year,DSL,1,Electronic check,1
7,77.34,403.22,Month-to-month,No,2,Electronic check,1
5,29.83,230.13,Month-to-month,No,3,Credit card,0
45,64.93,2860.43,Month-to-month,Fiber optic,5,Credit card,1
58,114.05,6600.55,Month-to-month,Fiber optic,5,Bank transfer,1
31,115.28,3554.91,Month-to-month,Fiber optic,1,Mailed check,0
23,43.93,1072.05,Month-to-month,Fiber optic,1,Bank transfer,1
42,82.41,3533.02,Month-to-month,No,0,Mailed check,1
10,67.41,609.46,Month-to-month,DSL,2,Bank transfer,1
32,107.57,3510.04,Month-to-month,Fiber optic,1,Mailed check,1
53,47.14,2565.5,One year,No,2,Electronic check,0
30,20.37,612.07,Month-to-month,No,1,Mailed check,1
39,36.26,1460.62,Month-to-month,Fiber optic,0,Credit card,1
31,54.95,1755.16,Month-to-month,DSL,4,Credit card,1
2,51.57,90.52,Month-to-month,No,2,Mailed check,0
12,99.14,1181.76,Month-to-month,Fiber optic,1,Electronic check,1
39,88.06,3463.65,One year,Fiber optic,2,Electronic check,1
66,49.96,3215.65,Month-to-month,Fiber optic,1,Mailed check,1
13,65.77,837.38,Two year,DSL,1,Mailed check,0
46,29.56,1299.55,Month-to-month,DSL,2,Credit card,1
27,109.81,3036.17,One year,Fiber optic,3,Credit card,1
17,113.54,1911.94,One year,DSL,1,Bank transfer,0
60,117.98,7092.64,Month-to-month,DSL,2,Electronic check,1
